conversion_path,tour_count,avg_days_to_event,touchpoints
"[""Apartments.com""]",94,1.8,1.0
"[""Drive By""]",72,0.5,1.0
"[""Google + Website""]",58,3.7,2.0
"[""Website""]",27,2.8,1.0
"[""RentVision Website""]",24,2.9,1.0
"[""Google""]",19,0.1,1.0
"[""Resident Referral""]",19,0.3,1.0
"[""Apartments.com + Website""]",16,2.4,2.0
"[""RentVision Local SEO (GBP)""]",16,5.0,1.0
"[""Apartment List + Website""]",10,3.8,2.0
"[""Bing + Website""]",7,3.3,2.0
"[""Previous Resident Referral""]",6,0.0,1.0
"[""Google + Website"", ""Website""]",4,5.9,3.0
"[""RentVision Website"", ""Google + Website""]",3,4.4,3.0
"[""Affordable Housing + Website""]",3,6.0,2.0
"[""Entratra""]",3,30.2,1.0
"[""Locator Service + Website""]",3,2.1,2.0
"[""Locator Service""]",3,0.0,1.0
"[""Apartments.com"", ""Apartments.com + Website""]",3,6.6,3.0
"[""Zillow""]",3,0.0,1.0
"[""Apartment List + Website"", ""Apartments.com""]",2,0.9,3.0
"[""Apartment List""]",2,0.4,1.0
"[""UMOVEFREE""]",2,0.0,1.0
"[""Apple""]",2,2.9,1.0
"[""Bing + Website"", ""Bing + Website""]",1,3.1,4.0
"[""RentVision Local SEO (GBP)"", ""Apartments.com""]",1,45.0,2.0
"[""Google + Website"", ""RentVision Local SEO (GBP)""]",1,0.0,3.0
"[""Unknown + Website""]",1,0.8,2.0
"[""Website"", ""Website""]",1,29.7,2.0
"[""Website"", ""RentVision Local SEO (GBP)"", ""Google + Website""]",1,30.7,4.0
"[""Website + Website""]",1,0.1,2.0
"[""Google + Website"", ""Apartments.com""]",1,13.9,3.0
"[""Website"", ""Website"", ""Apartments.com""]",1,9.3,3.0
"[""Google + Website"", ""Google + Website""]",1,0.5,4.0
"[""Unknown""]",1,0.0,1.0
"[""Google + Website"", ""Apartments.com + Website""]",1,19.3,4.0
"[""Apartments.com + Website"", ""Apartments.com + Website""]",1,19.9,4.0
"[""Bing + Website"", ""RentVision Local SEO (GBP)""]",1,11.0,3.0
"[""Google + Website"", ""RentVision Website""]",1,9.8,3.0
"[""Google + Website"", ""Website"", ""Apartments.com""]",1,5.8,4.0
"[""Facebook""]",1,0.0,1.0
"[""RentVision Website"", ""UMOVEFREE + Website""]",1,0.1,3.0
